Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 08/01  01:00:00,28956933.877134436,28956933.877134436,0.0 
 08/01  02:00:00,28767111.07906166,28767111.07906166,0.0 
 08/01  03:00:00,28762638.785972626,28762638.785972619,0.0 
 08/01  04:00:00,28766366.142339764,28766366.14233976,0.0 
 08/01  05:00:00,28808927.294703634,28808927.294703634,0.0 
 08/01  06:00:00,29421038.994179883,29421038.994179883,0.0 
 08/01  07:00:00,28182250.7429104,28182250.742910405,0.0 
 08/01  08:00:00,29674707.365772964,29674707.36577296,0.0 
 08/01  09:00:00,93112852.31403189,93112852.31403189,0.0 
 08/01  10:00:00,57157233.15199022,57157233.15199021,0.0 
 08/01  11:00:00,48682175.21250233,48682175.21250233,0.0 
 08/01  12:00:00,49664505.42441097,49664505.42441096,0.0 
 08/01  13:00:00,51233291.76166937,51233291.76166937,0.0 
 08/01  14:00:00,52191055.949369009,52191055.949369009,0.0 
 08/01  15:00:00,46182910.90317762,46182910.90317762,0.0 
 08/01  16:00:00,43193365.51611503,43193365.51611504,0.0 
 08/01  17:00:00,49633448.17895969,49633448.17895969,0.0 
 08/01  18:00:00,51108146.169577348,51108146.16957735,0.0 
 08/01  19:00:00,32699855.378564814,32699855.378564814,0.0 
 08/01  20:00:00,29876912.258816028,29876912.258816028,0.0 
 08/01  21:00:00,30664572.871116606,30664572.8711166,0.0 
 08/01  22:00:00,30381977.068979525,30381977.06897953,0.0 
 08/01  23:00:00,30001616.15036801,30001616.150368014,0.0 
 08/01  24:00:00,29492789.058568047,29492789.058568047,0.0 
 08/02  01:00:00,33358998.84486875,33358998.844868754,0.0 
 08/02  02:00:00,33337476.04709959,33337476.04709959,0.0 
 08/02  03:00:00,33417256.035874994,33417256.035874994,0.0 
 08/02  04:00:00,33338912.27269606,33338912.27269606,0.0 
 08/02  05:00:00,34014140.09884484,34014140.09884485,0.0 
 08/02  06:00:00,38796848.38702512,38796848.38702512,0.0 
 08/02  07:00:00,38570798.60049355,38570798.60049355,0.0 
 08/02  08:00:00,54301567.110580589,54301567.110580589,0.0 
 08/02  09:00:00,114851170.1236783,114851170.12367828,0.0 
 08/02  10:00:00,77524347.22280142,77524347.22280142,0.0 
 08/02  11:00:00,73624532.47521232,73624532.4752123,0.0 
 08/02  12:00:00,70185717.4632653,70185717.4632653,0.0 
 08/02  13:00:00,76927219.4748779,76927219.4748779,0.0 
 08/02  14:00:00,74322705.35697568,74322705.35697568,0.0 
 08/02  15:00:00,72498927.03672157,72498927.03672159,0.0 
 08/02  16:00:00,69264081.93955735,69264081.93955735,0.0 
 08/02  17:00:00,65380960.3710418,65380960.37104179,0.0 
 08/02  18:00:00,58822495.19872316,58822495.19872315,0.0 
 08/02  19:00:00,35600372.922575999,35600372.922575999,0.0 
 08/02  20:00:00,31506606.384623916,31506606.38462392,0.0 
 08/02  21:00:00,32233612.313583949,32233612.313583949,0.0 
 08/02  22:00:00,30697141.965573044,30697141.96557304,0.0 
 08/02  23:00:00,29910862.092905035,29910862.09290503,0.0 
 08/02  24:00:00,33805926.24860221,33805926.24860221,0.0 
